"date","price"
"7/12/2023","1.020305864504171386"
"7/12/2023","1.020305864504171386"
"7/12/2023","1.020305864504171386"
"7/12/2023","1.020305864504171386"
"7/12/2023","1.020305864504171386"
"7/12/2023","1.020305864504171386"
"7/12/2023","1.020258943822739315"
"7/12/2023","1.020258943822739315"
"7/12/2023","1.020258943822739315"
"7/12/2023","1.020258943822739315"
"7/12/2023","1.020258943822739315"
"7/12/2023","1.020258943822739315"
"7/12/2023","1.020258943822739315"
"7/12/2023","1.020258943822739315"
"7/12/2023","1.020258943822739315"
"7/12/2023","1.020258943822739315"
"7/12/2023","1.020258943822739315"
"7/12/2023","1.020258943822739315"
"7/12/2023","1.020258943822739315"
"7/12/2023","1.020258943822739315"
